Accession,WTB-001,WTB-002,WTB-003,WTB-004,WTB-005,WTB-006,WTB-007,WTB-008,WTB-009,WTB-010
O60493,81.1,107.7,94,100.4,65.9,48.9,61.56666667,49.5,70.5,72.25
P30419,79.65,109.8,93.9,117.7,54.7,64.9,103.4333333,34.1,65.5,127.35
S4R3G0,63.45,85.9,93.9,83.6,49.4,72.6,71.2,35.8,89.3,68.95
Q9NR45,76.85,106.4,93.8,154.1,42.6,102.7,75.7,39.7,54.2,109.05
P35579,116.45,143.3,93.7,87.9,92.6,63.2,80.63333333,84,65.6,116.4
Q14203,84.7,119.1,93.6,107.7,92,76.5,93.16666667,51.7,58.6,99.8
U3KPS2,99.35,92.3,93.5,90.5,115.8,60.3,62.53333333,102.2,95,172.75
P17174,65.6,96.2,93.5,63.6,40.2,48.5,95.23333333,30.4,51.7,77.75
P35237,85.8,96.8,93.4,142,103.8,69.2,101.7,39.7,69.8,90.15
Q9BVA6,98.75,96.5,93.2,94.2,87.2,81.7,112.4666667,35,72.1,136.75
G5E9R5,91.3,90.3,93.2,149.2,62.1,97.5,51.2,14.8,45,82.45
P15144,74.75,141.8,93.2,80.1,90.8,86,98.16666667,66.1,183,93.8
F5GXS0,81.8,76.3,93.2,302.7,50.6,22.2,69.96666667,59.9,325.3,60.65
P26640,81.35,119.5,93.1,48.4,37.2,27.3,161.3333333,48.3,31.4,89.8
E9PFH4,80.65,114.2,93,104.6,56.1,24.2,110.4,28.6,80.4,80.4
K7EK35,73.75,101.3,93,101.4,59.6,49,73.43333333,39,59.9,71.3
O95782,77.85,95.2,93,95.2,53.8,65.1,86.16666667,37.2,116.9,76.8
Q7Z6P3,91.05,115.5,92.9,110.4,27,0,141.8666667,22.9,95.1,92.95
H3BNK3,80.3,106.8,92.8,124,44.5,55.1,50.83333333,22.1,63.2,76.7
Q96IX5,86.7,112.4,92.7,103.5,84,77.1,75.03333333,60.9,97.5,99.85
Q9Y3A6,81.15,93,92.6,103,47.7,40,103.1666667,136.1,105.2,86.95
P13671,122,92.6,92.5,80,85.3,74.1,119.1666667,26.2,125,111.1
P20851,62.05,100.2,92.5,67.6,54.9,67.8,125.5666667,21.9,164.4,146.5
P10643,123.8,72.9,92.4,90.4,99.6,48.6,107.6333333,30.1,179.9,94.5
Q9Y5K6,55.35,82.8,92.4,121.3,34.5,51.9,61.1,27.6,55,54.5
Q9NPP4,117.7,93.9,92.3,69.6,62.6,20.5,156.2333333,82.4,59.9,121.7
O94776,74.3,90.4,92.3,120.6,52.7,61,76.73333333,36,137.7,86.55
C9JJV6,46.65,71.9,92.2,78.6,34.9,24.3,192.3333333,219,34.6,87.5
Q9UBE0,85.5,159.3,92.1,114.5,0,0,108.5,66.3,58.6,89.55
P02792,158.15,271.2,92,31.8,57.4,55.7,99.63333333,42.3,37.9,108.45
P30048,86,108.6,92,133.1,39.8,38.8,90.83333333,41.7,57,96.65
P41250,77.5,76,92,111.8,45.1,68.9,72.2,27,58.8,76.75
P02749,86.4,98.5,92,169.7,122,218.3,67.8,20.2,125.5,89.55
Q99715,62.2,488.2,91.9,54.7,33.8,34.2,108.7,29.8,56.8,53.5
P52788,78.75,200.5,91.9,90.7,78.6,59.5,75.36666667,0,146.6,52.95
H9KV45,74.95,85.4,91.8,81.8,90.6,58.1,61.6,31.8,101.5,57.55
P0DP25,116.45,104.2,91.6,87.2,86.7,49.4,64.43333333,67.5,33.4,138.9
K7EQZ7,109.25,106.2,91.3,78.4,45,38.6,154.9333333,59.6,59.9,128.35
P05546,97.75,95.8,91.3,104.2,122.9,89.9,84.33333333,71.1,95.1,126.75
P12111,68.65,185.3,91.3,57.8,43.3,57.5,139.1666667,43.8,241.8,53.6
Q01813,124.75,88.4,91.1,96.7,62.1,64.6,122.1666667,33,74.8,86.25
Q14152,76.95,100.3,91.1,74.2,49.3,39.9,83.16666667,37.4,51.9,83
Q13643,69.95,102.1,91.1,72.2,33.9,37.8,80.8,20.3,127,79.35
P29350,134.05,89.4,91,102.4,126.4,72,80.56666667,56.7,92.5,143.8
B0QZK4,100.65,85.4,91,58.6,80.4,66.2,77.16666667,96,78,97.3
Q96EP5,72.45,108.5,91,137.7,45.6,58.5,76.2,24.3,66.1,74.9
P15374,54.8,149.4,91,128.2,25.7,59.5,65.86666667,16,66.6,51.8
Q9NR31,68.65,123.3,91,140.1,52.5,132.7,74.83333333,33.9,112.8,87.3
Q92900,75.75,87,90.9,84.2,50.5,41.3,94.7,36.5,56.1,66.55
P52292,71.6,96.3,90.9,116.8,68.8,70.7,65.86666667,29.1,56.8,77.3
P00740,76.35,134.2,90.8,104.3,142.8,67.5,109.9333333,33.3,78.4,129.45
Q9ULZ3,127.6,100,90.7,109.1,60.6,36.2,118.1333333,86,49.6,139.8
P45974,71.45,109.4,90.7,162.1,81.6,77.9,69.1,30.4,99.5,96.4
P35754,123.55,114.6,90.6,81.8,152.5,76.7,92.53333333,53.3,76.3,95
Q13043,96.3,80.8,90.6,43.8,72.3,65.7,152.9,87.7,90.3,110.5
P78347,64.5,103.4,90.6,106.1,39.1,46.1,90.3,33.1,80.5,83.3
O43488,113.8,108.3,90.5,94.7,101.1,88,69.23333333,16.3,65.8,90.65
Q9Y6N5,79.1,122.5,90.4,101.3,57.6,35.9,144.8666667,80.5,61.5,105.8
Q86VP6,97.75,121.8,90.3,124.5,60,47.8,84.3,49.2,64,80.5
B4E1Z4,68.85,91.8,90.3,115.2,86.2,137.1,78.56666667,38.4,188.4,127.95
P02743,99.65,67.4,90.2,68,76.8,46.2,143.5666667,69.5,49.7,134.15
P31930,79.8,90.7,90.1,69.9,39.2,48.9,107.6666667,14.8,78,88.4
P80108,84.2,92.8,90.1,134.2,146.4,53.4,114.4666667,62.5,96.6,93.55
Q14204,85.6,110.2,89.9,86,41.5,34.7,117.9666667,33.4,62.2,106.55
Q9HBI0,88.1,109.4,89.9,112.8,69.2,58.3,112.2666667,35.4,100.4,87.15
P33993,74.45,87.4,89.9,56.8,78.7,47.2,89.63333333,34.4,43.7,69.25
Q15113,134.45,98.5,89.7,84.9,88.1,52.3,135.8333333,51.9,52.8,91.55
P43405,88.15,117.3,89.4,121.7,72.6,40,105.8333333,122.9,103.6,85.3
A0A024R571,104.95,90.4,89.3,95.8,91.5,66.7,81.86666667,76.9,98.3,99.1
P28331,62.95,101.8,89.3,74.4,59.3,43.7,141.8666667,28.1,76.1,75.7
O43852,63.05,116.1,89.3,101.1,42.7,58.2,85.5,29.7,69.4,62.85
P09871,69.95,108,89.3,112.9,42.6,103.6,131,22.4,103.1,134.65
P04196,185.95,108.2,89.1,87.7,132.6,87.9,86.33333333,28.6,85.9,85.1
A0A087WW23,76.25,98.3,89.1,64.9,67.3,43.1,173.9666667,135.6,45.5,98.55
O00571,84.8,97.7,89,84.8,44.9,48.2,69.43333333,36.5,49.6,80.95
H0YJG7,56.6,62,89,98,33,16.4,61.7,17.7,89.2,54.7
Q9BSJ8,79.05,119.1,88.9,82.3,0,44.3,113.5,0,71.2,77.3
P32722,88.05,81,88.8,66.4,35.6,37.5,218.1,19,30.1,103.1
Q9Y490,84.1,101.8,88.8,81.1,101.9,68,65.13333333,62.3,73.3,76
P27635,43.55,89,88.7,78.8,16.3,42.9,46.76666667,0,65.6,62.55
P00748,73.7,94.1,88.6,145.8,55.6,107.1,111.5666667,56.9,84,111.05
P01834,78.65,72.4,88.6,111.6,66.8,134.9,138.5,25.8,63.8,128.75
P43353,106.6,138.8,88.5,179,95.6,57.2,101.8333333,60.6,65.5,100.25
P07355,63.45,92.8,88.5,176.9,50.4,176.3,62.03333333,33.7,59.2,73
O43747,113.75,134.1,88.4,106.6,22.2,31.6,100.1,41.9,56.3,110.45
P12814,99.95,95.4,88.4,101,90,85.8,91.26666667,48,83.2,103.65
E7EMG9,84.2,86.4,88.4,67.6,210.5,69,49.56666667,118.5,49,195.6
P48594,77.9,85.7,88.2,144.3,59,85,74.56666667,37,80.5,213.65
P26639,68.1,130.1,88.2,120,33.9,34.2,61.8,21.1,41,72.65
P51659,82.75,104.2,88.1,109,64.4,85.2,78.3,38.6,70.1,85.2
Q14258,80.55,96.5,88.1,105.7,56.5,62.5,138.3,66.1,103.7,77.65
P43652,80.7,127.4,88,105.4,76.7,84.1,114.4,60,102.1,86.05
P23469,98.15,84.9,88,103.9,80.2,71.4,122.1,79.3,141,103.75
V9GYM8,73.35,128,88,76.9,47.9,50.2,126.1333333,24.2,89.3,103.5
B7Z3Z9,123.15,80.1,87.7,52.6,101.8,36,94.36666667,122.9,77.3,150.8
Q9NZT1,91.65,77.2,87.7,96.8,87.7,76.9,54.03333333,56.7,115.9,163.25
Q8WXX5,67.9,106.3,87.7,76.8,46.6,35.2,82.8,32.1,60.4,83.95
P07384,78.45,108.3,87.6,126.8,85,57.7,82,58.7,73.6,98.6
P58107,85.25,93.7,87.5,153.7,41.6,136.6,79.2,22.5,79.6,89.85
P00747,136.4,80.8,87.4,78,95.4,125,78.63333333,55.9,100.9,107.8
H3BND8,61.6,88.9,87.4,74.5,68.1,46.4,56.63333333,31,55.8,48.85
P49795,112.45,102.3,87.3,115.1,59,49.8,119.9666667,42.3,125.7,139.45
A8MXL6,88.75,97.5,87.3,43.2,27.2,31.9,202.4,48.4,35.1,89.8
A0A087X253,87.9,121.6,87.3,84.3,43.3,33.8,125.4666667,38.4,73.2,89.45
Q01082,92.9,158.1,87.2,100.4,67.7,56.9,120.0333333,67.9,70.8,116.5
P30084,79.3,100.5,87.2,101.8,79.6,51.6,105.3,58.7,59.3,98.45
Q06323,83.2,99.3,87.2,131.5,78.7,48.1,97.36666667,42.6,81.1,83.8
Q13492,96.6,94.5,86.8,69,37.7,22,79.63333333,50.9,46.5,89.35
Q9UJZ1,39.8,83.6,86.8,80.8,0,0,29.26666667,0,0,12.1
P13798,76.3,89.5,86.7,146.2,115.5,47.9,71.53333333,63.7,75.9,105.9
P43034,96.1,129,86.6,93,104.4,51.2,68.06666667,82.1,80.1,87.75
Q9Y617,58.9,125.8,86.6,71.7,0,36.6,61.26666667,11.9,72.6,79.15
P04792,68.15,73.7,86.6,148.6,64.1,99,63,20.1,62.1,54.9
P53004,110.45,116.8,86.3,94.2,106.3,40.9,92.76666667,50,67.2,103.9
Q13636,107.75,94.9,86.2,79.5,84.8,48.2,122.1,57.1,83.6,122.65
F5GZQ3,64.8,90.3,86.2,158.2,38,57.8,66.8,24,83.9,81.3
Q9H0U4,80.75,68.8,86.1,89.1,83.6,56.1,117.5333333,78.8,45.3,117.05
F2Z2Y4,94.25,98.5,85.9,83.9,121.5,73.9,76.56666667,70.5,98.7,118.4
P62633,81.15,80.6,85.8,124.6,50.5,55.1,109.8333333,29.6,57.3,97.8
P05023,73.85,114.5,85.8,138.1,62.4,63.3,83.73333333,34.1,72.2,77.25
Q96QA5,113.1,103.7,85.7,146.7,46,103.5,54.9,39.8,75.3,164.15
K9J957,57.15,112.7,85.6,72.9,36.4,32,60.4,32.3,40.1,61.05
P46940,110.8,108,85.5,69,99.2,57.7,79.93333333,74.3,78.5,118.15
K7EKQ5,75.65,93.8,85.4,80,31.5,23.2,165.1666667,20.5,116.8,139.15
P34897,76.3,109.3,85.4,77.6,52,43.8,74.83333333,46.3,67.1,68.7
O75643,80.25,98.2,85.4,111.9,55.4,39.1,75.1,46.4,57.1,85.2
E7EX73,86.75,117.5,85.2,85.2,25.6,36.2,96.76666667,29.4,50.5,99.9
Q8TCU6,151.5,104.8,85.1,82.3,59.3,20.6,113.3,48.8,83.4,145.4
O75563,97.95,141.4,85.1,60,68.7,33.5,146.4666667,77.2,64.8,115.8
Q13596,90.2,121.8,85.1,101.1,50.3,52.6,111.7,44.2,59.9,92.8
Q96F07,107.1,88.9,85,97.2,71.5,38.7,124.8,40.1,84.4,130.05
P04003,69.85,88.7,84.9,81.6,54.4,67.4,134.8666667,40.8,150.8,144.7
A0A075B6R9,48.5,93.3,84.9,137.5,31.3,125.3,90.33333333,25.7,109.1,218.7
P55060,77.85,98.8,84.7,96.8,52.1,34.5,83.5,38.3,52,72.15
P31939,70.25,111.4,84.7,67,64.4,56.1,59.3,25.9,70.4,55.05
Q9UHD8,66.7,88.2,84.6,81.8,70.7,59,57.56666667,65.8,66,57.75
O95831,73.95,94,84.5,145.2,44.3,62.1,77.43333333,40.6,59.4,82.25
B5MC59,65.65,118.2,84.5,89.2,30.3,30.7,101.8333333,23.9,99.9,72.15
E7EQ64,75.5,87,84.5,125.9,128.8,156.6,59.06666667,231.6,71.9,71.95
P11908,67.25,127.3,84.5,105.5,49.4,35.7,79.56666667,47.6,117.4,75
O15145,80.7,102,84.5,117.6,161.4,81.9,94,55.9,107.1,99.6
A6NFX8,63.3,117.5,84.4,110,67.3,49.2,91.66666667,49.2,59.4,82.1
P01780,72.55,73,84.2,126.5,85.2,136.1,76.7,32,107.9,201.7
A0A087WW87,65.05,60,83.9,93.1,48.4,105.9,175.3333333,23.1,49,151.95
H3BRV9,61.65,88.3,83.9,151.3,67.5,75.1,60.7,34.4,70.2,66.95
P50570,63.6,120.2,83.8,98,82.2,53,78.93333333,49.6,72.8,84.25
Q9I4F9,51.75,88.9,83.8,93.9,36.4,31.1,237.1,24.2,60.9,50.35
P00734,89.2,65.1,83.7,75.6,372.8,156.2,50.06666667,38.1,123.4,54.9
P78527,89.05,89.6,83.6,70.2,50.8,37.5,94.43333333,72,60.8,86.55
P49588,60.55,96.3,83.6,109.7,37.7,42.5,96.6,22.2,63.8,74.15
J3KR44,79.4,91.2,83.5,81,97.5,40.8,82.26666667,66,72.3,165.65
G3V4T2,63,87,83.5,76.8,35.5,46.5,74.93333333,23.1,83.8,91.6
P67870,85.55,102.6,83.4,92.6,62.3,61.6,101.3666667,31.1,86.1,83.7
P13796,98.25,100.4,83.2,80.4,85.1,53.2,105.9333333,70.9,72.3,128.45
P62241,70.3,97.2,83.2,87.8,47.5,39,69.56666667,39.9,53.7,67
A0A2R8YCW8,75,108,83.2,327.6,79.2,66.7,70.73333333,29.9,71.9,70.05
Q15029,73.8,97.7,83.2,135.1,94.1,63.7,90.53333333,27.3,107,67.2
Q9Y5B9,72.95,96.9,83.1,113.6,61.6,83.4,93.16666667,34.1,91.2,86.4
O95379,90.3,76.6,83,64.1,93.3,56.4,107.1333333,68.6,80.3,96
Q9BXP5,80.45,82.5,83,82.1,94.4,73.1,70.3,36.1,116.2,61.7
P49755,107.4,123.4,82.9,84.7,85.7,67.7,92.03333333,81.5,66,174.5
A0A3B3ISX1,71.1,106,82.9,71.2,30.6,21.7,86.96666667,27.6,30.1,113.8
Q9NZI8,55.8,86.8,82.9,80.2,51.4,46.5,64.86666667,28.3,59.4,59.7
Q9UBV8,91.45,110.4,82.7,94,40.1,35.6,156.1,45.7,76.6,107.05
P49915,63.5,109.4,82.7,83.2,39,34.7,64.4,29,55.8,66.35
P22087,57.45,105.2,82.7,76.3,74.4,47.8,71.7,34.3,57.6,72.95
P55083,47.3,72,82.6,57.5,34.9,25.4,208.8666667,62.6,220.1,71.4
P18428,103.65,91.7,82.5,96.2,44.6,32.7,115.7666667,20.2,83.2,171.4
P15924,89,74.7,82.5,245.5,55.4,203.2,61.73333333,35.9,66.7,114.2
O75947,78.1,88.5,82.5,51.8,136,53.2,67.83333333,63.8,44.3,85.9
P49736,71,89.4,82.5,74.9,49.7,61.7,85.6,34.8,56.7,65.35
P51149,88.75,79.8,82.5,78.2,85.8,65.8,84.73333333,93.2,71.2,85.4
K7ESE8,60.35,101.1,82.5,89.7,114.1,84.3,90.26666667,79,63.4,72.8
O75165,119.25,87.5,82.4,69.2,54,30.4,146.1666667,50.5,66.6,134.35
P38606,98.4,109.5,82.3,59.7,75.7,38.5,108.5,67.4,70,113.2
O14980,75.3,86.2,82.3,62.3,44.4,48.1,62.2,28.8,53.3,68.8
P36578,65.35,111.6,82.3,73.5,44.4,48.6,65.23333333,33.9,48.5,63.8
P06727,116.5,83.8,82.2,144.4,69.3,98,95.76666667,113.4,54,104.95
Q8WYA6,82.55,89.7,82.2,140.8,37.6,40.6,86.26666667,40.4,66.1,68.85
Q12907,116.8,105.4,82.1,56.2,89.8,49.8,71.8,111,112.6,131.65
E9PK47,106.45,115.9,82.1,130.2,93,71.6,93.6,86.1,92.5,121.05
P51159,89.25,86.2,82.1,76.3,69.5,46.4,124.9,70.4,155.6,110.15
G3V1Q4,78.15,114.7,82.1,122.7,62.1,58.3,93.73333333,45.5,70.1,79.1
R4GN49,113.45,36,82,207.5,39.2,243.7,79.63333333,23,50.5,104.75
P21283,108.8,145.6,82,80.1,47.9,35.5,122.8333333,25.4,70.1,95.1
P07237,89.55,100.1,81.9,86,89,73.7,80.93333333,106.3,88.8,106.7
P00738,44,64.6,81.9,221.4,46.3,215.3,72.16666667,67.5,95.7,161.7
A0A087X2J2,94.95,80.6,81.8,77.6,54,45.6,133.7666667,105.7,45.2,116.05
P14780,67.85,97,81.8,64.6,68.6,40,157.0333333,50.8,132.7,120.05
O95466,145.5,104.5,81.7,62.7,82.9,35.5,141.8333333,49.8,105.4,113
C9JIG9,91.75,112.4,81.7,84.9,54.2,44.9,116.8,60.9,70.5,108.25
Q16401,77.85,138.6,81.7,95.8,47.3,12.6,65.23333333,13.3,57.8,99.2
O15371,55.75,57,81.7,71.2,27.2,35.2,59.8,7.3,44.8,56.8
A0A087X0K1,92.8,109.3,81.6,89.6,76.3,61.8,74.43333333,92,62.7,126.7
B7ZKJ8,90.95,86.2,81.6,146.9,75.5,105.4,86.13333333,44.2,124.3,121.3
B4DPQ0,87.4,107.9,81.6,102.2,96.9,72.6,135.0333333,60,76.1,120.95
H0Y3U8,65.05,109.1,81.6,88,46.1,53.4,142.7333333,42.6,129.5,104.8
E5RI99,51.7,81,81.6,58.3,29.9,33.6,76.16666667,21.2,53.1,74.3
P00450,94.5,54.1,81.5,105.4,107.5,89.2,78.13333333,43.7,96.2,206.4
F5H6I7,97,131.9,81.4,94.7,82.3,62.1,106.4,76.3,75.7,101.75
H0Y8C6,68.9,89.3,81.4,134.8,50.6,65,105.3333333,28.1,83.8,72.5
Q9NUQ9,113.05,87.5,81.3,87.5,55.3,37,127.6666667,48.1,72.8,115.5
P14923,71.4,81.4,81.3,266.8,45.8,241.6,63.5,37.2,89.9,90.75
P61026,63.4,90.7,81.3,108.7,58.9,40,87.43333333,43.3,84,85.45
Q8TD55,92.25,98.3,81.2,58.8,58.2,36.8,175.8,77.9,71.4,81.7
P27824,94,117.4,81.2,76.6,91.6,82.3,99.16666667,96.3,96.3,128.65
P61158,92.6,80.5,81.2,75.6,133.7,74.1,72.1,73.6,82.7,104.75
P02790,70.55,87.2,81.2,118.7,56.7,107.6,122.4666667,41.6,114,114.2
P51858,74.5,88,81.2,68.8,87.3,55.7,42.03333333,106.9,24.7,104.75
O75113,88.25,151.3,81.2,115.4,64.3,59.1,100.8666667,53.7,157.4,106.55
P51991,56.6,95.4,81.2,62,34.2,35.5,65.56666667,18.9,45.5,59.6
Q14315,55.85,107.6,81.2,105.5,74.8,56.4,44.53333333,30,49.2,57.1
O76094,82.45,93.7,81.1,89.8,66.6,64.3,76.26666667,45.6,66.9,97.7
H3BQZ7,81.4,74.2,81.1,81.4,57.6,55.6,79.7,23.2,67,50.1
A0A087X0S5,60.7,119.5,81.1,46.5,34,51.1,175.8,51.9,261.5,55.1
A0A087X2I5,94.6,107.3,80.9,68.9,46.4,32.5,40.76666667,0,84.2,89
O75083,75.5,78,80.9,84.7,142.6,65,78.83333333,92.1,75.6,101.75
Q12874,67.2,80.3,80.9,77.9,45.8,44.8,55.96666667,30.9,47.6,57.5
O43776,75.8,80.3,80.9,100.2,48.7,64,61.56666667,33.7,53.2,77.3
Q9P258,57.55,69,80.9,72.4,51,54.2,57.4,35.6,53.2,52.3
P19652,69.7,101.2,80.8,84.2,91.3,94.5,115.9666667,50.8,90.1,163.25
A2A274,74.05,98.8,80.8,145.1,37,51,74.33333333,25.8,103.2,70.5
P14406,93.9,107.2,80.7,80.6,53.1,39.8,89.26666667,52.1,57.2,67.2
A0A087WY61,99.45,137.6,80.7,71,57.8,38.8,71.76666667,31.1,46.5,88.6
Q6NZI2,88.35,106.4,80.6,60.2,35.7,35.9,184.6,23.8,70.8,98.85
O00231,92.6,98.4,80.6,81.5,45.1,51.6,67.16666667,35.6,63.2,85.45
O75874,90.7,94,80.6,110.6,86.3,38.3,89.33333333,52.4,88.4,82.4
A6NHL2,67.65,84.2,80.6,76.4,46.5,42.4,99,29.6,51.4,63.2
K7EQA9,75.2,146.2,80.6,97.3,37.7,20.8,69.4,37.4,51.8,96.95
P16401,159.55,92.7,80.5,63.7,137.9,57.5,53.63333333,177,37.5,133.45
O14818,69.85,78.9,80.5,99.5,68,50.8,59.83333333,38,62,64.95
K7ELL7,62.9,65.1,80.2,41.4,61.8,30.8,39.43333333,40.6,41.9,61.5
Q9HT61,106.55,98.6,80.1,50.6,19.4,14.4,199.7333333,11.5,32.2,128.85
Q96I99,79.15,101.5,80.1,145.9,54.5,76.8,88,78.7,63.7,60.35
H3BPJ9,63.5,101.6,80.1,60,45.5,59.7,85.5,74.2,67.8,68.25
P61513,56.85,72,80.1,63.3,48.6,42.4,79.73333333,28.8,68.4,55.5
P42704,76.9,79,80,98.4,52.1,52.3,69.2,42.8,60.3,65.25
Q9Y5K5,59.35,89.4,80,100,35.2,37.6,71.73333333,25.8,62.1,66
P04217,71.35,85,79.9,229.2,65.8,143.2,92.73333333,42,150.6,88
P84095,75.5,110.1,79.8,128.5,45.1,62.2,132.3333333,32.7,78.1,102.35
P00505,64.55,95.5,79.7,108,37.6,37.4,90.63333333,21.2,44.4,71.8
Q9UQ35,141.5,83.1,79.6,54.9,113,50.7,80.23333333,34.4,141.5,104.1
P00492,81.45,104.1,79.5,121.5,72.8,45.7,72.1,46,58.9,124.85
O95816,66.05,99.2,79.5,86.5,60.2,47.7,82.26666667,25.3,81,64.55
Q14254,107.05,102.1,79.3,96.2,74.6,60.6,148.0666667,20.9,121.6,105.7
P37802,52,87.9,79.3,118.4,37.8,67.5,57.76666667,36.5,40.8,46.1
P84090,73.45,71.2,79.2,64,60,51.8,62.46666667,65.4,42.7,77.25
P27708,75.95,82.7,79.2,101.7,73.9,61.2,64.23333333,24.5,66.4,49.3
P31949,92.5,89.7,79.1,62.7,69.9,50.1,141.1333333,97.1,51.1,114.45
H7C0V0,69.65,136.8,79,70.4,26.8,54.1,109.0666667,53.7,58.3,100.8
P46109,65.5,93,79,102.9,43.9,47,51.83333333,27.6,175.6,47.8
Q9BZZ5,85.25,122.5,78.9,96,59.2,38.8,120.8666667,39.4,76.9,92.3
P68366,71.2,68.9,78.9,72.5,42.3,69.9,71.06666667,35.3,50.9,62.95
O43175,77.15,86.4,78.9,137.6,50.1,60.8,95.06666667,22.6,46.8,71.3
P54577,60.45,85,78.9,71.2,36.7,40.4,65.36666667,23.1,74,65.8
P08133,115.15,96.2,78.8,66.6,134.5,63.8,83.43333333,119,169.5,91.95
E7EUC7,84.75,100.7,78.8,78.8,56.2,47.1,131.7333333,97.1,65.9,105.95
A0A1B0GVU9,72.9,101.2,78.8,74.5,65.9,47.7,94.33333333,53.2,87.3,94.25
P13010,62.05,87.8,78.8,89.6,47.9,47.1,71.83333333,38,67.5,67.6
F8VXU5,67.7,75.1,78.8,67.7,96.9,43.4,93.13333333,91.1,73,90.65
P50914,67.6,97.5,78.8,91.7,43.3,78,76.33333333,31,65.9,59.9
O15511,105.7,102.6,78.7,55.2,115.1,111.9,105.8666667,69.4,80.7,120.95
F8VSD4,83.85,89.6,78.7,112.5,61.2,46.6,55.1,32.4,55.2,74.8
Q08211,66.05,83,78.5,81.3,52.5,45,60.93333333,33.7,49.1,61.25
F5GY90,53.65,86.1,78.5,105.8,50.9,79.7,45.1,22.5,45.9,56.95
P80511,162.6,56.3,78.4,42.8,130.6,39.8,138.5333333,135.4,59.1,70.95
Q92522,133.15,131,78.4,79.4,124.4,38.9,57.46666667,95.2,28.1,164.2
Q9HAV4,53.9,69,78.3,81.4,13.5,46.6,63.13333333,14.9,50,52.55
Q13347,52.5,93.4,78.3,80.2,51.2,34.9,51.56666667,31.2,45.2,57.8
P14625,91.85,122.7,78.2,81.9,72.4,65.5,68.36666667,76.7,57,72.4
C9JHP4,79.4,83.2,78.2,74.4,38,39.8,120.3333333,20.3,41.4,89.95
E9PCM6,92.55,87.2,78.1,60.4,65,50.4,138.3,63.8,112.6,101.75
Q99459,66.85,102.9,78.1,56,63.4,27.6,89.9,34.9,53.9,91.7
P35232,64.05,71.1,78,68.6,52.9,50.5,79.83333333,37,57.6,76.95
Q96GA3,61.6,76.6,78,50.5,38.4,60.4,65.46666667,22.4,54.7,80.25
B1AK88,102.2,78.9,77.9,55.9,117.4,56.4,75.33333333,84.6,45.4,158.05
E9PBS1,59.75,94.5,77.9,80.5,43.4,47,81.2,23.9,52.4,61.65
Q09028,55.75,99.9,77.9,86.7,36.3,42.2,41.2,23.8,33,39.35
P48735,110.3,106.5,77.8,66.8,70.3,51.3,107.0333333,62,99.8,131.1
P16930,78.65,102.1,77.8,106.4,61.5,44.8,98.2,87.3,69.5,88.55
H0YM48,50.8,63.7,77.8,215.8,36,78.5,114.3666667,29.2,204.6,114.8
P61160,73.8,103,77.7,110.6,86.6,74.1,73.93333333,59.2,100.8,85.2
H0YFD6,68.65,101.3,77.7,89.4,66.8,66.8,57.6,45.9,79.4,60.65
P05771,70.55,95.4,77.7,70.6,67.9,86.1,76.1,32,89.4,72.8
O14950,97,89.6,77.6,91.9,141.6,83.7,62.06666667,92.6,99.8,150.9
Q16186,44.2,56.8,77.6,33.4,102.6,32.4,37.56666667,149.6,30.7,51.1
O95352,95.1,98.6,77.5,55.6,46.7,39.9,183.2333333,30.6,61.2,95.9
P55010,66.5,77.3,77.5,79.1,45.1,46.9,66.16666667,19.9,53.9,58.65
Q6P2Q9,97.7,97.4,77.3,94,25.9,47,64.13333333,43.1,56.2,61.55
P21333,76.95,86.4,77.2,94.9,104.4,91.6,76.53333333,52.6,73,82.2
P07358,68.35,77.9,77.2,107.1,66.4,40.3,79.06666667,25,105.8,277.2
Q05655,132.8,81,77.1,62.4,114.4,49.7,105.2333333,118.7,94.6,88
H0YMG7,53.75,76.8,77.1,86.9,43.9,50.2,58.56666667,31.5,66.3,64.45
Q92841-1,68.05,103.4,76.9,85.1,40.3,66.1,98.83333333,30.4,92.3,66.35
O43707,70.5,82,76.9,113.5,80.4,81,59.36666667,28.7,60.4,91.05
J3KR24,62.7,72.9,76.9,90.2,51.8,56.2,55.26666667,33.4,51.6,59.45
Q15631,69.6,90.6,76.8,73,73.8,64.8,74.06666667,56.1,106.8,81.95
P08253,84.1,101.6,76.7,67.3,56,74.5,141.0333333,62.9,129.9,83.2
Q96I24,71.55,87.4,76.7,67.1,36.4,45.4,104.3333333,32,61,68.8
Q7KZF4,60.55,93,76.7,77,56.8,51.2,67.56666667,36.2,59.9,68.4
P11215,68.55,86,76.5,78.4,100,64.1,137.3333333,47.3,99.3,84.65
O43765,69.2,105.1,76.5,112.4,63,44.2,92.06666667,38.1,78.3,82.25
A0A3B3ISU0,64.1,85.9,76.4,190.1,31.4,77.1,56.66666667,17.5,489.6,72.8
B4E0K5,94.15,89.3,76.3,88.4,80.9,38.9,115.4666667,51.9,127.5,105.2
A0A0J9YYL3,64.65,122.6,76.2,93.8,36.5,46.7,63.2,18.9,51.4,48.6
P62277,57.1,86.6,76.2,87.1,45,58.8,54.26666667,34.4,52,48.35
J3QQQ9,65.7,70.2,76.1,72.7,70.4,39.1,34.36666667,24.1,24.5,51.8
P54578,70.2,75.7,76.1,98.7,78.8,58.3,66.36666667,22.6,63.4,75.95
